areaCode,areaName,areaType,date,cumCasesByPublishDate,newCasesByPublishDate
E92000001,England,nation,2021-05-29,3910803,2747
E92000001,England,nation,2021-05-28,3908214,3434
E92000001,England,nation,2021-05-27,3904934,2936
E92000001,England,nation,2021-05-26,3902160,2540
E92000001,England,nation,2021-05-25,3899813,2081
E92000001,England,nation,2021-05-24,3897815,1972
E92000001,England,nation,2021-05-23,3895920,1734
E92000001,England,nation,2021-05-22,3894329,2242
E92000001,England,nation,2021-05-21,3892258,2303
E92000001,England,nation,2021-05-20,3890081,2307
E92000001,England,nation,2021-05-19,3887954,2151
E92000001,England,nation,2021-05-18,3886364,2008
E92000001,England,nation,2021-05-17,3889132,1645
E92000001,England,nation,2021-05-16,3887487,1471
E92000001,England,nation,2021-05-15,3886016,1614
E92000001,England,nation,2021-05-14,3884402,1828
E92000001,England,nation,2021-05-13,3882574,2229
E92000001,England,nation,2021-05-12,3880345,1804
E92000001,England,nation,2021-05-11,3878541,2117
E92000001,England,nation,2021-05-10,3876424,2009
E92000001,England,nation,2021-05-09,3874415,1418
E92000001,England,nation,2021-05-08,3872997,1742
E92000001,England,nation,2021-05-07,3871255,2142
E92000001,England,nation,2021-05-06,3869113,2194
E92000001,England,nation,2021-05-05,3866919,1906
E92000001,England,nation,2021-05-04,3865013,1659
E92000001,England,nation,2021-05-03,3863354,1453
E92000001,England,nation,2021-05-02,3861901,1377
E92000001,England,nation,2021-05-01,3860524,1642
E92000001,England,nation,2021-04-30,3858882,2046
E92000001,England,nation,2021-04-29,3856836,2103
E92000001,England,nation,2021-04-28,3854733,1829
E92000001,England,nation,2021-04-27,3852904,2410
E92000001,England,nation,2021-04-26,3850494,1752
E92000001,England,nation,2021-04-25,3848742,1401
E92000001,England,nation,2021-04-24,3847341,1804
E92000001,England,nation,2021-04-23,3845537,2277
E92000001,England,nation,2021-04-22,3843260,2315
E92000001,England,nation,2021-04-21,3840945,1943
E92000001,England,nation,2021-04-20,3839002,2169
E92000001,England,nation,2021-04-19,3836833,2550
